id,title,location,salary_min,category,description,created
5685692781,Coordinador de nóminas,"Celaya, Guanajuato, México",1395,IT Jobs,"Estamos buscando un(a) Coordinador(a) de Nóminas altamente analítico(a), organizado(a) y con amplio dominio de la legislación laboral y fiscal mexicana. Esta posición será clave para asegurar que el ciclo completo de nómina se ejecute con precisión, en tiempo y forma, garantizando el cumplimiento normativo y brindando una excelente experiencia a nuestros colaboradores. Responsabilidades A) Gestión integral del ciclo de nómina Validar incidencias, horas extras, descuentos y movimientos conforme …",2026-04-01T08:40:18Z
5687245803,Technical Account Manager,México,1733,IT Jobs,"Technical Account Manager The Mission As the Technical Account Manager, you are the Engine Room of our client engagements. Your mission is to ensure that complex GTM system implementations—spanning CRM, Marketing Automation, and Revenue Operations—are delivered with surgical precision. You bridge the gap between high-level business strategy and technical execution, ensuring that our ""Builders"" have clear instructions and our ""Strategists"" have realistic timelines. Key Outcomes (KPIs) On-Time De…",2026-04-02T04:47:18Z
5685700342,Business Development Manager Sr.,"Ciudad de México, México, México",912,IT Jobs,Business Development Manager Sr. This is a business development role that desible focuses on serving vertical Retail industries. Ideal candidates would be those who have experience in understanding and addressing the specific needs and challenges of this specific market. Main responsibilities: Manage and cultivate relationship with key accounts Videosurvilleance/Electronic Security end users across southern Mexico region (any state is welcome from this region) Full management of sales cicle. Co…,2026-04-01T08:41:22Z
5685693809,SAP FICO Consulting Manager – Record to Report (RTR),México,1051,IT Jobs,"Ubicación: Ciudad de México, Monterrey, Querétaro o Guadalajara (modelo híbrido) Nivel: Manager Experiencia: 6–10 años Idioma: Inglés avanzado (indispensable) Resumen del rol Buscamos un(a) SAP RTR Manager para liderar la ejecución, estabilización y evolución de procesos Record to Report dentro de proyectos globales de Consulting y Managed Services en PwC Acceleration Center México . El rol combina liderazgo de equipos , relación con stakeholders , gobernanza del delivery y expertise funcional …",2026-04-01T08:40:33Z
5685700883,Project Manager,México,2313,IT Jobs,"Duration: 6 months Location: Remote LATAM We are seeking Technical Program Managers with a strong foundation in networking and software-driven programs to support New Product Introduction (NPI) initiatives within a data center service provider environment. This TPM must be a hands-on driver of programs, not a passive coordinator. The ideal candidate knows how to proactively lead cross‑functional teams, manage ambiguity, and push programs through end‑to‑end to execution. -2-3 Years of experience…",2026-04-01T08:41:29Z
5685699882,Especialista en Temas Regulatorios (SPEI/SPID) (Cd. Mx.),"Ciudad de México, México, México",860,IT Jobs,"GoNet An Orion Innovation Company, somos una empresa Internacional líder en servicios de tecnología con oficinas en México y Estados Unidos. Proveemos a soluciones de negocios de alto impacto. Debido a nuestro constante crecimiento nos encontramos en búsqueda de talento como: Especialista en Temas Regulatorios (SPEI/SPID) Habilidades y Conocimientos Específicos: Experiencia llevando cumplimiento regulatorio tecnológico, con experiencia en la regulación de SPEI/SPID de Banxico y de CNBV. Normati…",2026-04-01T08:41:15Z
5685700189,Transfer Agent Oversight (Fund Ops Cash) Analyst,"Querétaro, México, México",1256,IT Jobs,"Transfer Agent Oversight (Fund Ops Cash)– Analyst – Americas Delivery Mexico (ADMX) Are you an experienced, passionate pioneer in technology? A Transfer Agent Oversight (Fund Ops Cash) Analyst who wants to work in a collaborative environment? As an experienced Transfer Agent Oversight (Fund Ops Cash) Analyst you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. Americas Delivery Mexico (ADMX) leverages scale and talent …",2026-04-01T08:41:20Z
5685698315,Validation Engineer,"Tijuana, Baja California, México",1783,IT Jobs,"HCLTech is a global technology company, home to more than 223,000 people in 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI, powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services. Consolidated revenues …",2026-04-01T08:41:02Z
5685693414,Trainee Management Consulting,México,2035,IT Jobs,"Sobre NTT DATA En NTT DATA somos más que una empresa de tecnología: somos un equipo global de más de 190,000 profesionales con presencia en 50 países. Colaboramos en sectores clave como telecomunicaciones, servicios financieros, industria, energía, sector público y salud, aportando soluciones innovadoras que impulsan la transformación digital. Nuestra misión es ofrecer soluciones tecnológicas, estratégicas y de negocio, abarcando desde la consultoría hasta el desarrollo y mantenimiento de aplic…",2026-04-01T08:40:30Z
5685694359,Sr. Process Engineer,"Mexicali, Baja California, México",2435,IT Jobs,"Objetivo del puesto: El Ingeniero de Procesos controla y mejora los procesos establecidos para operaciones de fabricación, ensamble, prueba, empaque e inspección de productos. Administra los procesos con el objetivo de dar cumplimiento a los requerimientos específicos de clientes. Responsabilidades primarias: 1. Desarrollar y mantener actualizados Core Tools (APQP, PPAP, FMEA, SPC y MSA)de los modelos bajo su responsabilidad. 2. Resolver problemas utilizando las herramientas 8Ds, 5 Whys, DMAIC,…",2026-04-01T08:40:36Z
5685693147,"Senior Associate, Data Analyst (Alteryx)",México,1038,IT Jobs,"About KTSA We are KTSA – KPMG Technology Services Americas. A Service Delivery Center of KPMG US, with offices in Mexico City, Guadalajara, and a growing network of remote talent across the country. We deliver high-value technology, consulting, and corporate support services to KPMG US and its clients. At KTSA, our Employer Value Proposition is clear: Explore . Explore isn’t just a word — it’s how we grow, lead, and thrive. It’s the mindset that drives our culture and shapes every opportunity: …",2026-04-01T08:40:25Z
5685698787,Analista de Contabilidad de Impuestos,México,2457,IT Jobs,"Estamos buscando un Analista de contabilidad de impuestos para unirse a nuestro equipo en México. Tus responsabilidades Registrar facturas de compras y ventas. Procesar, registrar y pagar reportes de gastos en los sistemas de la empresa. Registrar asientos contables. Brindar apoyo durante las actividades de cierre de mes y cierre anual. Proporcionar apoyo administrativo al área de Finanzas. Realizar otras actividades relacionadas con el puesto. Preparar, analizar y validar información fiscal en…",2026-04-01T08:41:06Z
5685701298,Site Reliability Engineer - GKE Experience,México,1891,IT Jobs,What You’ll Do: Work on a team of extremely talented platform engineers to help maintain and scale the current and future state services platform. Help architect and develop the future state compute platform by leveraging industry best practices as well as embracing new technologies to support future business growth. Help influence the product roadmaps of GCP (our primary cloud provider) to better suit the future state architecture. Work collaboratively with business and technical stakeholders …,2026-04-01T08:41:34Z
5685698641,Core Support - Mid React JS,México,2277,IT Jobs,"Responsibilities: • Triage & Incident Ownership o Perform rapid intake, triage, and prioritization of alerts, tickets, and incidents. o Act as Incident Owner during high-severity events, ensuring clear communication, timely updates, and swift restoration of service. o Maintain accurate, real-time incident timelines and post-incident documentation. • Troubleshooting & Restoration o Execute root-cause isolation across application, middleware, APIs, data, and infrastructure layers. o Use observabi…",2026-04-01T08:41:05Z
5685700243, Data Warehouse,México,1555,IT Jobs,"Leads team and independently designs, develops, tests, implements, documents, and supports data warehouses, including ETL, database, and scheduling technologies and processes. What you need: · Bachelor’s Degree in Arts/Sciences (BA/BS) or equivalent education/ experience required · LOMA certification preferred · 8 Years Data Warehouse or relevant experience required · 8 Years ETL, database, and scheduling experience required · 4 Years of Data Analysis experience required · Experience in Kimball…",2026-04-01T08:41:21Z
5685700533,Consultor tecnico y de desarrollo Oracle Cloud,"Aguascalientes, México, México",1941,IT Jobs,"Reclutador: Valeria Colin Ubicación: Aguascalientes Industria: CPRD Modalidad de trabajo: Hibrido Tus funciones: Usar habilidades y técnicas avanzadas de resolución y documentación de incidencias, service requests y requerimientos de AM, incluyendo diseño, desarrollo, pruebas, depuración, entre otras. Apoyar la supervisión, planificación y dirección técnica de los equipos de AM y desarrollo para garantizar la entrega exitosa de proyectos de AM (L2 y L3). Comprender el diseño técnico mediante di…",2026-04-01T08:41:25Z
5685696377,Desarrollador Java,México,1057,IT Jobs,"Java Full Stack AI Agentic Engineer Modality: Fulltime - Remote (any state in Mexico) Language: Conversational English Requirements: Frontend (FE): React, JavaScript Backend (BE): Java, Spring Boot, Python, Groovy, JUnit Build Tools : Maven, Node.js, NPM Cloud Platforms: Google Cloud, Azure, Kubernetes CI/CD: Jenkins, GitHub Actions, Docker Databases: MongoDB, PostgreSQL, MySQL, DB2 Automation Tools: Playwright, Selenium Monitoring & Deployment Tools : Spinnaker, Grafana, Terraform Operating Sy…",2026-04-01T08:40:50Z
5685700366,Transfer Agent Oversight (Shareholder Services)–Senior Consultant,México,1119,IT Jobs,"Transfer Agent Oversight (Shareholder Services)–Senior Consultant – Americas Delivery Mexico (ADMX) Are you an experienced, passionate pioneer in technology? A Transfer Agent Oversight who wants to work in a collaborative environment? As an experienced Transfer Agent Oversight (Shareholder Services) Senior Consultant you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. Americas Delivery Mexico(ADMX) leverages scale and…",2026-04-01T08:41:23Z
5685701550,Endpoint Engineer (Apple / JAMF Focused),"Puebla, México, México",2186,IT Jobs,"The Endpoint Engineer (Apple / JAMF Focused) is responsible for ensuring the stability, security, and optimal performance of Apple end‑user computing devices across enterprise and multiclient environments. This role designs, deploys, and maintains modern endpoint solutions primarily for macOS, iOS, and iPadOS using JAMF Pro and the Apple management ecosystem, while integrating with identity, security, and compliance platforms. The Endpoint Engineer leads Apple device lifecycle management, patch…",2026-04-01T08:41:38Z
5687245984,Tech Lead Java Cloud,México,2075,IT Jobs,"• Rol: Tech Lead Java Cloud • Requerido: Ingeniería en Sistemas, Informática Administrativa o afín. Experiencia de 5 años en: -Desarrollo con Java 21 -Diseño y desarrollo de APIs REST y microservicios, -Definición de estándares de arquitectura. -Api Gateway -CI/CD -Ambientes cloud como Oracle Cloud Infrastructure • Acerca de Softtek: Fundada en 1982, Softtek es un proveedor global de servicios orientados a procesos de TI con 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Con 15 Cent…",2026-04-02T04:47:26Z
5685692748, Data Warehouse,"Guadalajara, Jalisco, México",1786,IT Jobs,"Leads team and independently designs, develops, tests, implements, documents, and supports data warehouses, including ETL, database, and scheduling technologies and processes. What you need: · Bachelor’s Degree in Arts/Sciences (BA/BS) or equivalent education/ experience required · LOMA certification preferred · 8 Years Data Warehouse or relevant experience required · 8 Years ETL, database, and scheduling experience required · 4 Years of Data Analysis experience required · Experience in Kimball…",2026-04-01T08:40:18Z
